10,inhale,unknown,[[ 0.14055686  0.03123698  0.82820618]]
12,inhale,exhale,[[ 0.01522378  0.84396011  0.14081617]]
15,inhale,exhale,[[ 0.28625324  0.70956403  0.00418275]]
16,inhale,exhale,[[ 0.47002363  0.49270669  0.03726972]]
18,inhale,exhale,[[ 0.42225283  0.57117099  0.00657622]]
46,inhale,exhale,[[ 0.15836188  0.84053564  0.00110251]]
104,inhale,exhale,[[ 0.10005182  0.8824079   0.01754036]]
113,inhale,exhale,[[ 0.29559356  0.70276403  0.00164244]]
114,inhale,exhale,[[ 0.15149245  0.84645057  0.00205695]]
122,inhale,exhale,[[  1.60269290e-01   8.39665174e-01   6.54261166e-05]]
123,inhale,exhale,[[ 0.36842042  0.61510146  0.01647813]]
129,inhale,exhale,[[ 0.40847287  0.59082234  0.00070471]]
134,inhale,exhale,[[  5.32163307e-02   9.46032047e-01   7.51690764e-04]]
135,inhale,exhale,[[ 0.34520847  0.64069635  0.01409522]]
136,inhale,exhale,[[ 0.04222376  0.9521544   0.00562177]]
143,inhale,exhale,[[ 0.06961095  0.91578162  0.01460749]]
146,inhale,exhale,[[ 0.38110533  0.54992467  0.06896996]]
150,inhale,exhale,[[ 0.09005506  0.9063406   0.00360439]]
158,inhale,exhale,[[  6.30093291e-02   9.36213434e-01   7.77196605e-04]]
159,inhale,exhale,[[ 0.47783524  0.51900661  0.00315815]]
167,inhale,exhale,[[ 0.36192054  0.45731711  0.18076235]]
168,inhale,exhale,[[  1.58038974e-01   8.41858923e-01   1.02023099e-04]]
172,inhale,unknown,[[ 0.2576533   0.36942121  0.37292543]]
180,inhale,unknown,[[ 0.41033852  0.00476534  0.58489609]]
185,inhale,exhale,[[ 0.14022839  0.85481769  0.00495386]]
187,inhale,exhale,[[ 0.16044283  0.77969426  0.05986298]]
190,inhale,exhale,[[  2.76843131e-01   7.22700536e-01   4.56300098e-04]]
191,inhale,exhale,[[ 0.1213055   0.86020499  0.01848943]]
194,inhale,exhale,[[ 0.41246957  0.46080458  0.12672597]]
0,unknown,exhale,[[ 0.06498411  0.91507053  0.01994541]]
2,unknown,inhale,[[ 0.96523952  0.02313374  0.01162674]]
3,unknown,exhale,[[ 0.03790016  0.50709665  0.4550032 ]]
10,unknown,exhale,[[ 0.00858978  0.88453883  0.10687139]]
11,unknown,exhale,[[ 0.00128932  0.60217047  0.39654016]]
81,unknown,exhale,[[  3.00846756e-01   6.99152350e-01   9.18763249e-07]]
87,unknown,exhale,[[ 0.02320713  0.52984643  0.44694644]]
94,unknown,exhale,[[ 0.05503542  0.60011685  0.34484774]]
156,unknown,exhale,[[ 0.1761999   0.66738665  0.15641342]]
159,unknown,exhale,[[ 0.05091864  0.49624449  0.45283693]]
179,unknown,exhale,[[ 0.01485833  0.69022983  0.2949118 ]]
215,unknown,exhale,[[ 0.04057417  0.65672684  0.302699  ]]
253,unknown,exhale,[[ 0.00070817  0.63705248  0.3622393 ]]
256,unknown,exhale,[[ 0.01665732  0.9096902   0.07365245]]
259,unknown,exhale,[[ 0.04338691  0.53157187  0.42504129]]
310,unknown,exhale,[[ 0.0573464   0.73535824  0.20729531]]
315,unknown,exhale,[[ 0.12081967  0.73994279  0.13923758]]
316,unknown,inhale,[[ 0.4981328   0.24805394  0.25381333]]
321,unknown,exhale,[[ 0.05035812  0.76564187  0.18400006]]
330,unknown,exhale,[[ 0.00113687  0.58851385  0.41034931]]
12,exhale,unknown,[[ 0.04368396  0.45976448  0.49655151]]
31,exhale,unknown,[[ 0.00817823  0.07624353  0.91557819]]
34,exhale,unknown,[[ 0.02093613  0.2740072   0.70505667]]
99,exhale,inhale,[[ 0.5246852   0.46636176  0.00895301]]
124,exhale,unknown,[[ 0.064063    0.46468779  0.47124913]]
126,exhale,unknown,[[ 0.00099634  0.31823024  0.68077344]]
169,exhale,inhale,[[ 0.88498425  0.09942988  0.01558589]]
170,exhale,inhale,[[ 0.95419914  0.04194229  0.00385861]]
172,exhale,inhale,[[  9.69262898e-01   3.07317935e-02   5.35164145e-06]]
177,exhale,inhale,[[  9.75655377e-01   2.36603040e-02   6.84295432e-04]]
