3,inhale,unknown,[[ 0.40748605  0.0016564   0.59085757]]
16,inhale,unknown,[[ 0.23060569  0.03576469  0.73362964]]
23,inhale,exhale,[[ 0.0028733   0.95120269  0.04592409]]
33,inhale,unknown,[[ 0.24894769  0.07929271  0.67175967]]
34,inhale,unknown,[[ 0.42671046  0.00578177  0.56750786]]
37,inhale,unknown,[[  2.39367738e-01   1.56335926e-04   7.60475934e-01]]
41,inhale,unknown,[[ 0.15425548  0.00103571  0.8447088 ]]
44,inhale,unknown,[[ 0.33959168  0.03504202  0.62536627]]
50,inhale,unknown,[[ 0.13904446  0.20876655  0.65218896]]
51,inhale,exhale,[[ 0.0261611   0.859029    0.11480986]]
52,inhale,unknown,[[ 0.46614441  0.01769504  0.51616061]]
59,inhale,unknown,[[ 0.38718805  0.05822171  0.55459028]]
63,inhale,unknown,[[ 0.12804867  0.13018471  0.74176663]]
65,inhale,unknown,[[ 0.42853335  0.07781687  0.49364975]]
72,inhale,unknown,[[ 0.33830941  0.00212415  0.6595664 ]]
73,inhale,unknown,[[ 0.05688177  0.03345071  0.90966749]]
88,inhale,exhale,[[ 0.15692563  0.7511943   0.09187999]]
95,inhale,exhale,[[ 0.30377141  0.6400426   0.05618601]]
96,inhale,exhale,[[ 0.34596613  0.51617956  0.13785434]]
98,inhale,exhale,[[ 0.11616555  0.69187367  0.19196072]]
107,inhale,unknown,[[  2.43532360e-01   2.10026483e-04   7.56257653e-01]]
118,inhale,unknown,[[ 0.10104195  0.15037382  0.74858421]]
119,inhale,unknown,[[  5.28639890e-02   6.10107491e-05   9.47075009e-01]]
120,inhale,unknown,[[ 0.43949464  0.05416524  0.50634009]]
122,inhale,unknown,[[  4.93164957e-01   2.55388906e-04   5.06579697e-01]]
125,inhale,exhale,[[ 0.25442821  0.60584891  0.13972294]]
136,inhale,unknown,[[ 0.32925412  0.00164084  0.66910505]]
139,inhale,unknown,[[  1.36898011e-01   2.81604502e-04   8.62820387e-01]]
152,inhale,unknown,[[  1.93750575e-01   7.19566960e-05   8.06177497e-01]]
155,inhale,unknown,[[  3.71605337e-01   9.89472119e-06   6.28384769e-01]]
156,inhale,unknown,[[ 0.28035966  0.0289959   0.6906445 ]]
162,inhale,unknown,[[ 0.18589118  0.00311822  0.81099063]]
167,inhale,unknown,[[  3.78745973e-01   2.56052936e-05   6.21228337e-01]]
171,inhale,unknown,[[ 0.35466096  0.0008595   0.64447945]]
